"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","CART - GET detail data cart","SUCCESS","2023-04-15T21:59:54.9150733+07:00[Asia/Jakarta]","0.0","7.22"
"Cart","CART - GET a single cart with invalid url","SUCCESS","2023-04-15T22:00:02.2172094+07:00[Asia/Jakarta]","0.0","0.82"
"Cart","CART - GET result in descending sort","SUCCESS","2023-04-15T22:00:03.087884+07:00[Asia/Jakarta]","0.0","1.03"
"Cart","CART - GET ALL detail data cart","SUCCESS","2023-04-15T22:00:04.15547+07:00[Asia/Jakarta]","0.0","1.15"
"Cart","CART - GET limit result cart with valid param","SUCCESS","2023-04-15T22:00:05.3345852+07:00[Asia/Jakarta]","0.0","0.85"
"Cart","CART - GET limit result cart with invalid param","SUCCESS","2023-04-15T22:00:06.2267326+07:00[Asia/Jakarta]","0.0","1.07"
"Cart","CART - GET result cart in descending sort","SUCCESS","2023-04-15T22:00:07.3486617+07:00[Asia/Jakarta]","0.0","1.17"
"Cart","CART - GET ALL detail data user cart with invalid url","SUCCESS","2023-04-15T22:00:08.5419916+07:00[Asia/Jakarta]","0.0","2.28"
"Cart","CART - GET detail data user cart with invalid url","SUCCESS","2023-04-15T22:00:10.8402529+07:00[Asia/Jakarta]","0.0","0.79"
"Cart","CART - GET in date range cart with valid data","SUCCESS","2023-04-15T22:00:11.6536928+07:00[Asia/Jakarta]","0.0","0.87"
"Cart","CART - GET in date range cart with invalid data","SUCCESS","2023-04-15T22:00:12.5517437+07:00[Asia/Jakarta]","0.0","0.62"
"Cart","CART - POST new cart with valid data","SUCCESS","2023-04-15T22:00:13.1899367+07:00[Asia/Jakarta]","0.0","0.61"
"Cart","CART - POST new cart with invalid data","SUCCESS","2023-04-15T22:00:13.8256941+07:00[Asia/Jakarta]","0.0","0.93"
"Cart","CART - PUT existing cart","SUCCESS","2023-04-15T22:00:14.7726605+07:00[Asia/Jakarta]","0.0","0.96"
"Cart","CART - PUT existing cart with invalid data","SUCCESS","2023-04-15T22:00:15.7547784+07:00[Asia/Jakarta]","0.0","1.02"
"Cart","CART - DELETE existing cart with valid id","SUCCESS","2023-04-15T22:00:16.7989159+07:00[Asia/Jakarta]","0.0","0.99"
"Cart","CART - DELETE existing cart with invalid id","SUCCESS","2023-04-15T22:00:17.8121254+07:00[Asia/Jakarta]","0.0","0.56"
"User","LOGIN - As admin I have be able to login","SUCCESS","2023-04-15T22:00:18.3998169+07:00[Asia/Jakarta]","0.0","1.35"
"Product","PRODUCT - GET detail data product","SUCCESS","2023-04-15T22:00:19.7731331+07:00[Asia/Jakarta]","0.0","0.58"
"Product","PRODUCT - GET a single product with invalid endpoint","SUCCESS","2023-04-15T22:00:20.3723256+07:00[Asia/Jakarta]","0.0","0.53"
"Product","PRODUCT - GET ALL detail data product","SUCCESS","2023-04-15T22:00:21.0086251+07:00[Asia/Jakarta]","0.0","0.92"
"Product","PRODUCT - GET ALL detail data product with invalid url","SUCCESS","2023-04-15T22:00:21.9523337+07:00[Asia/Jakarta]","0.0","0.53"
"Product","PRODUCT - GET limit result product with valid param","SUCCESS","2023-04-15T22:00:22.5038501+07:00[Asia/Jakarta]","0.0","5.65"
"Product","PRODUCT - GET limit result product with invalid param","SUCCESS","2023-04-15T22:00:28.1693771+07:00[Asia/Jakarta]","0.0","0.49"
